iter	RMSE
0	1.114709673
1	1.077802947
2	1.04300709
3	1.01066136
4	0.9819673915
5	0.9546990659
6	0.9281867593
7	0.9037830842
8	0.8825568916
9	0.8608727157
10	0.841843927
11	0.8242002606
12	0.8085310988
13	0.791814819
14	0.7785216669
15	0.7662624356
16	0.7528313305
17	0.7416752007
18	0.7316411256
19	0.7206909188
20	0.7121728515
21	0.7043085668
22	0.696239829
23	0.6864671689
24	0.6796937697
25	0.6731886247
26	0.6646587044
27	0.6572456063
28	0.6522201619
29	0.6472478383
30	0.6431879549
31	0.6390921333
32	0.6342312598
33	0.6309594664
34	0.6254424368
35	0.6222156735
36	0.6184065644
37	0.6145744573
38	0.6101254447
39	0.6080238077
40	0.6054971453
41	0.6030389259
42	0.5996186531
43	0.5959133087
44	0.5921008085
45	0.5900794263
46	0.5866935897
47	0.5841289461
48	0.5808444329
49	0.5790097268
50	0.5768970461
51	0.5754008372
52	0.5726928839
53	0.5714352987
54	0.5686071314
55	0.5672759835
56	0.5655581056
57	0.5632578399
58	0.5620917624
59	0.5607550603
60	0.5592989286
61	0.557940344
62	0.5568212882
63	0.5549056792
64	0.5536400612
65	0.5527316291
66	0.5514627117
67	0.5504331309
68	0.5494858081
69	0.5485639676
70	0.5479265958
71	0.5463700441
72	0.5454535436
73	0.5438644913
74	0.5428943362
75	0.5419352921
76	0.5412844136
77	0.5399940835
78	0.5383437314
79	0.5375440929
80	0.5360363888
81	0.5344664742
82	0.5333876571
83	0.5323384012
84	0.531365355
85	0.529931747
86	0.52954883
87	0.5278435713
88	0.527232772
89	0.5267337339
90	0.5258115449
91	0.5251781516
92	0.5244755199
93	0.5238711641
94	0.52332183
95	0.522070976
96	0.5212379773
97	0.5203945333
98	0.5191039688
99	0.5183782577
100	0.5171928867
101	0.5167172283
102	0.515992854
103	0.515202671
104	0.5141519903
105	0.5137685381
106	0.5132230879
107	0.5127182461
108	0.5120904567
109	0.5113640309
110	0.5109843548
111	0.5101088115
112	0.5095239325
113	0.5089585156
114	0.5084436096
115	0.5081644753
116	0.5079769623
117	0.5074217474
118	0.5069879467
119	0.5066590368
120	0.5062035257
121	0.5058931286
122	0.5054165715
123	0.5047634284
124	0.504276483
125	0.5036976655
126	0.5028955038
127	0.5022598287
128	0.5015955356
129	0.5012008272
130	0.5005113316
131	0.500146645
132	0.4995277483
133	0.4987534359
134	0.4984145276
135	0.4975367093
136	0.4968075073
137	0.4963041032
138	0.4959280646
139	0.4954564692
140	0.4950380493
141	0.4944883678
142	0.4940297231
143	0.4935034593
144	0.4931009275
145	0.4927363471
146	0.4924212299
147	0.4920336025
148	0.4915335082
149	0.4909676833
150	0.4902704244
151	0.4897677646
152	0.489549052
153	0.489112943
154	0.4886788855
155	0.4881982412
156	0.4878665463
157	0.4873895108
158	0.4865514405
159	0.4860873349
160	0.4852732661
161	0.4848403642
162	0.4843168993
163	0.4840241443
164	0.4835014675
165	0.4826046707
166	0.4823244007
167	0.4818146594
168	0.4812123157
169	0.4807361027
170	0.480234046
171	0.4797409375
172	0.4791457322
173	0.4788243012
174	0.4781719451
175	0.4777011576
176	0.4773676473
177	0.4769651149
178	0.4765326577
179	0.4759816988
180	0.4755942283
181	0.4753259607
182	0.475005205
183	0.4742816299
184	0.4739424856
185	0.4735698367
186	0.4732092204
187	0.4728424174
188	0.4723486087
189	0.4720072903
190	0.4716084909
191	0.4712466962
192	0.4709152804
193	0.4705682051
194	0.4702356152
195	0.4696456336
196	0.4689133161
197	0.4684947069
198	0.4680272997
199	0.4676281016
200	0.4672738985
201	0.4668811069
202	0.466535682
203	0.4661845135
204	0.4656797493
205	0.465262332
206	0.4649389022
207	0.4646271577
208	0.4641646801
209	0.4638000245
210	0.463583547
211	0.4628980122
212	0.4625341919
213	0.4623054576
214	0.4620726659
215	0.4616692594
216	0.4612497193
217	0.4609540103
218	0.4605156911
219	0.4602270408
220	0.4598956034
221	0.4595559407
222	0.4592007852
223	0.4588863676
224	0.4586181955
225	0.4583148442
226	0.457975702
227	0.4577916814
228	0.4574347019
229	0.4571569782
230	0.4568757159
231	0.4565650177
232	0.4562158394
233	0.4559225621
234	0.4555963476
235	0.4552492898
236	0.4549251376
237	0.4546845798
238	0.4543230125
239	0.4540855408
240	0.4536201292
241	0.4532680963
242	0.4529652324
243	0.4527180042
244	0.4524231031
245	0.45209195
246	0.4518733912
247	0.451555541
248	0.4512857536
249	0.4508882844
250	0.4505843966
251	0.4502382959
252	0.4499590373
253	0.4496729597
254	0.4492156072
255	0.4489913172
