iter	Passed	Remaining
0	52	52158
1	55	27757
2	59	19696
3	62	15635
4	66	13229
5	69	11552
6	72	10295
7	75	9354
8	78	8634
9	81	8057
10	84	7578
11	86	7157
12	88	6753
13	91	6414
14	93	6143
15	95	5892
16	97	5651
17	99	5437
18	101	5228
19	102	5040
20	104	4871
21	106	4720
22	107	4580
23	109	4451
24	110	4328
25	112	4217
26	114	4121
27	116	4028
28	117	3942
29	119	3859
30	121	3782
31	122	3711
32	124	3644
33	126	3580
34	127	3519
35	129	3463
36	131	3412
37	132	3365
38	134	3314
39	136	3268
40	137	3224
41	139	3181
42	141	3139
43	142	3103
44	144	3073
45	146	3048
46	148	3017
47	150	2985
48	152	2956
49	153	2925
50	155	2897
51	157	2868
52	159	2844
53	161	2820
54	163	2810
55	165	2783
56	166	2759
57	168	2741
58	170	2719
59	172	2699
60	174	2681
61	176	2663
62	178	2647
63	179	2629
64	181	2609
65	182	2589
66	184	2571
67	186	2553
68	188	2539
69	190	2535
70	192	2525
71	194	2512
72	196	2496
73	198	2483
74	200	2468
75	201	2453
76	203	2437
77	205	2423
78	206	2410
79	208	2399
80	210	2385
81	211	2371
82	213	2356
83	214	2344
84	216	2332
85	218	2318
86	219	2305
87	221	2295
88	223	2286
89	225	2277
90	226	2265
91	228	2253
92	229	2242
93	231	2232
94	233	2221
95	234	2210
96	236	2200
97	238	2193
98	240	2185
99	241	2175
100	243	2165
101	244	2155
102	246	2145
103	248	2136
104	249	2128
105	251	2119
106	253	2113
107	254	2105
108	256	2096
109	258	2088
110	259	2079
111	261	2071
112	262	2063
113	264	2054
114	265	2045
115	267	2040
116	269	2033
117	271	2027
118	272	2020
119	274	2014
120	276	2006
121	277	1998
122	279	1992
123	281	1985
124	282	1978
125	284	1973
126	286	1968
127	288	1962
128	289	1955
129	291	1949
130	292	1942
131	294	1936
132	296	1929
133	297	1923
134	299	1919
135	301	1914
136	303	1910
137	304	1904
138	306	1898
139	308	1892
140	309	1886
141	311	1880
142	312	1874
143	314	1869
144	316	1866
145	318	1861
146	319	1856
147	321	1850
148	322	1844
149	324	1838
150	326	1833
151	327	1827
152	329	1822
153	331	1819
154	332	1815
155	334	1809
156	335	1803
157	337	1798
158	339	1794
159	340	1788
160	342	1784
161	343	1779
162	345	1776
163	347	1772
164	349	1768
165	351	1763
166	352	1758
167	354	1753
168	355	1749
169	357	1745
170	359	1742
171	361	1738
172	362	1734
173	364	1731
174	366	1726
175	367	1721
176	369	1717
177	370	1712
178	372	1708
179	373	1703
180	376	1702
181	378	1701
182	380	1698
183	382	1695
184	383	1691
185	385	1687
186	387	1684
187	389	1680
188	390	1676
189	392	1674
190	394	1670
191	396	1666
192	397	1663
193	399	1659
194	401	1656
195	403	1653
196	405	1650
197	406	1647
198	408	1645
199	410	1642
200	412	1638
201	413	1634
202	415	1631
203	417	1628
204	419	1625
205	420	1621
206	422	1617
207	424	1614
208	426	1613
209	427	1609
210	429	1606
211	431	1602
212	432	1598
213	434	1594
214	435	1591
215	437	1588
216	439	1585
217	441	1582
218	442	1578
219	444	1575
220	445	1572
221	447	1568
222	449	1565
223	450	1562
224	452	1559
225	454	1556
226	456	1554
227	457	1550
228	459	1547
229	461	1543
230	462	1540
231	464	1537
232	465	1533
233	467	1530
234	469	1528
235	471	1525
236	472	1522
237	474	1519
238	476	1516
239	477	1513
240	479	1510
241	481	1506
242	482	1504
243	484	1502
244	486	1499
245	488	1496
246	489	1492
247	491	1490
248	493	1487
249	494	1484
