iter	Logloss
0	0.6820244993
1	0.6724726408
2	0.6609040542
3	0.6509962144
4	0.6399724625
5	0.6314272483
6	0.6205496905
7	0.6109424745
8	0.6023025581
9	0.5942299426
10	0.5851477646
11	0.5748432451
12	0.566879176
13	0.5570248082
14	0.5509296232
15	0.5441141302
16	0.535660464
17	0.5268001114
18	0.5194402754
19	0.5129023222
20	0.5053884485
21	0.4992301015
22	0.4919051496
23	0.48672094
24	0.4805709138
25	0.4746229209
26	0.4679774691
27	0.4611998074
28	0.4561033499
29	0.4487112002
30	0.4445727308
31	0.4391744158
32	0.4350376925
33	0.4285624993
34	0.4244057711
35	0.4202279908
36	0.4157690222
37	0.409776442
38	0.4053312496
39	0.4019703693
40	0.3979738379
41	0.3957007814
42	0.3919964055
43	0.3868178096
44	0.3835111886
45	0.3802224643
46	0.3770125725
47	0.3729154432
48	0.3703471757
49	0.3669638446
50	0.3637962436
51	0.360618442
52	0.3572759743
53	0.3531100919
54	0.3500259369
55	0.3461760993
56	0.3432074026
57	0.3405189987
58	0.3373305977
59	0.3347098088
60	0.3317149546
61	0.3295266422
62	0.3267641385
63	0.3239816451
64	0.3212672795
65	0.3185425978
66	0.3153901495
67	0.3126535666
68	0.3106160827
69	0.3087244388
70	0.3066879189
71	0.3041929242
72	0.3020031409
73	0.2995695218
74	0.2974360296
75	0.2951617102
76	0.2937834569
77	0.2917032974
78	0.2900482965
79	0.288058327
80	0.2859199301
81	0.2838396043
82	0.2818595518
83	0.2794465761
84	0.2781152786
85	0.2764512401
86	0.2747760775
87	0.2730797655
88	0.2714673435
89	0.2697301522
90	0.2686075711
91	0.2667040853
92	0.2656535077
93	0.2636220129
94	0.2619551602
95	0.2607573516
96	0.2584316396
97	0.2571262462
98	0.2557135616
99	0.2542146234
100	0.2523293821
101	0.2511339129
102	0.250220264
103	0.2491254734
104	0.2478835144
105	0.2460831593
106	0.2442082158
107	0.2432348337
108	0.2419834942
109	0.2405573509
110	0.2394783516
111	0.2383357774
112	0.237131009
113	0.2355503721
114	0.2343832256
115	0.2336497527
116	0.2325449527
117	0.2317838451
118	0.2306243492
119	0.2296594097
120	0.228506771
121	0.2275701042
122	0.2260329467
123	0.2249830789
124	0.2238715634
125	0.2228980987
126	0.2221384243
127	0.2211102459
128	0.2201905088
129	0.2191945389
130	0.2182893383
131	0.2172336278
132	0.2166421025
133	0.2154785275
134	0.2148455982
135	0.213907002
136	0.2126757627
137	0.2119063599
138	0.2108532349
139	0.2097469008
140	0.2090204279
141	0.2082439886
142	0.2075468697
143	0.2066869681
144	0.2059474488
145	0.2053294137
146	0.2045692744
147	0.2038444902
148	0.2031100599
149	0.2024533841
150	0.2015589335
151	0.2008631981
152	0.2003518429
153	0.199500462
154	0.1988206064
155	0.1980720245
156	0.1973563851
157	0.196634598
158	0.1960171657
159	0.1953317376
160	0.1946996339
161	0.1940877369
162	0.1935651561
163	0.1926150574
164	0.1917254813
165	0.1909811394
166	0.1905185524
167	0.1899698827
168	0.189462477
169	0.1886216665
170	0.1880404725
171	0.1871902502
172	0.1865185283
173	0.1860444494
174	0.1855786433
175	0.1850061598
176	0.1846668145
177	0.1840019294
178	0.1835962857
179	0.1830538336
180	0.1825442019
181	0.1819596404
182	0.1813668817
183	0.1807385148
184	0.1798996368
185	0.1792333634
186	0.1786355678
187	0.1779497386
188	0.1776411641
189	0.1771373003
190	0.1764106906
191	0.1758594197
192	0.1752133206
193	0.1748170011
194	0.1742120139
195	0.1737129063
196	0.1731414383
197	0.1723921033
198	0.171850563
199	0.1714391192
200	0.1711937332
201	0.1707377329
202	0.1703520109
203	0.1698259391
204	0.1694164845
205	0.168770129
206	0.1683908755
207	0.1678323018
208	0.1675613645
209	0.1670903099
210	0.1666436391
211	0.1661916342
212	0.165587924
213	0.1652482113
214	0.1648860232
215	0.1644241865
216	0.1639530643
217	0.1635321509
218	0.1630751486
219	0.1625692351
220	0.1621546906
221	0.1616892907
222	0.1611217927
223	0.1606446539
224	0.1604394156
225	0.1602406444
226	0.1598602201
227	0.1595179031
228	0.1592870255
229	0.1590855606
230	0.1587427173
231	0.1584567514
232	0.1582069236
233	0.1580094897
234	0.1575436907
235	0.1572203507
236	0.1569485478
237	0.1564154744
238	0.1561348426
239	0.1556894089
240	0.1554434199
241	0.1550368759
242	0.1546015604
243	0.15433068
244	0.1540983129
245	0.1537763885
246	0.1534521457
247	0.1531437279
248	0.1527581529
249	0.1525087201
250	0.1520736432
251	0.1519400553
252	0.151554549
253	0.1511888711
254	0.1508625728
255	0.1506162827
256	0.1502916342
257	0.1500206186
258	0.149665645
259	0.1494461782
260	0.1491180225
261	0.1487447495
262	0.1484280228
263	0.1482365408
264	0.1477626366
265	0.1474890336
266	0.1470513262
267	0.1467361953
268	0.146469347
269	0.1461292582
270	0.1458621388
271	0.1456841935
272	0.1452100546
273	0.1448419266
274	0.1446690157
275	0.1443832832
276	0.1440890095
277	0.1438367214
278	0.1436666432
279	0.1432818173
280	0.1430430721
281	0.1427593672
282	0.1423635454
283	0.1421015545
284	0.1419210269
285	0.1417275408
286	0.1415012018
287	0.1412128973
288	0.1409813942
289	0.1407689775
290	0.1405380991
291	0.140285237
292	0.1401052975
293	0.1397583043
294	0.1393769286
295	0.1390628547
296	0.1387626698
297	0.1385104339
298	0.1382432842
299	0.1379653308
300	0.1375523337
301	0.1372668725
302	0.1370274656
303	0.1366287359
304	0.1364483277
305	0.1361788535
306	0.1359670097
307	0.1357156129
308	0.1355358561
309	0.1351816583
310	0.1349408585
311	0.13461707
312	0.1344117318
313	0.1341423426
314	0.1339818718
315	0.1337278324
316	0.1333743431
317	0.1331379735
318	0.1330872844
319	0.1328402669
320	0.1326903369
321	0.1324635899
322	0.1322014556
323	0.1320780818
324	0.1318381363
325	0.1316162826
326	0.131346555
327	0.131157498
328	0.1309034623
329	0.1306537534
330	0.1304222012
331	0.1301947114
332	0.1300422157
333	0.1297439268
334	0.129609432
335	0.1293959382
336	0.1292765486
337	0.1290636593
338	0.1289599952
339	0.1287637427
340	0.1286587848
341	0.1283888588
342	0.1282939827
343	0.1279705917
344	0.1277619306
345	0.127578356
346	0.1273973813
347	0.1273040565
348	0.1270561374
349	0.1268694088
350	0.1267376349
351	0.1265131481
352	0.126418584
353	0.1263687635
354	0.1261597253
355	0.1259576514
356	0.1257548007
357	0.1255641399
358	0.1253280083
359	0.1251551944
360	0.1250043015
361	0.1249296804
362	0.124759891
363	0.1245272734
364	0.1243137343
365	0.1240678222
366	0.1238059999
367	0.1235321983
368	0.1233011636
369	0.123249478
370	0.1230589638
371	0.1228745803
372	0.1226760299
373	0.122482688
374	0.1223020657
375	0.1220938163
376	0.1217678516
377	0.1216190581
378	0.121429773
379	0.12128207
380	0.1212027515
381	0.1211025811
382	0.1209925165
383	0.1208435164
384	0.1206836839
385	0.1206319147
386	0.1204193502
387	0.1202949004
388	0.1201519895
389	0.1200459676
390	0.1196642918
391	0.1194802089
392	0.1193283962
393	0.1192347852
394	0.119024787
395	0.1188245658
396	0.1186670397
397	0.1184817367
398	0.1183371525
399	0.118216046
400	0.1180589269
401	0.1178379207
402	0.1176378047
403	0.1175222094
404	0.1173432356
405	0.1172102203
406	0.1170757861
407	0.1169708181
408	0.1167353697
409	0.1165954696
410	0.1164987033
411	0.1163901828
412	0.1162442858
413	0.116086174
414	0.1158167715
415	0.1156787762
416	0.1154370776
417	0.1153244801
418	0.1152082804
419	0.1149873004
420	0.1147429796
421	0.1145869479
422	0.1143886125
423	0.1142068429
424	0.1140331593
425	0.1139095495
426	0.1136539732
427	0.1134516055
428	0.1131688774
429	0.1129310584
430	0.112792424
431	0.1125757284
432	0.1124468685
433	0.1123142366
434	0.1121010144
435	0.1119431519
436	0.1117252318
437	0.1116152308
438	0.1114955942
439	0.1113463195
440	0.1111050673
441	0.1109524626
442	0.1108420902
443	0.1107805494
444	0.1106701094
445	0.110421892
446	0.110328692
447	0.1102336947
448	0.1101161005
449	0.1099719175
450	0.1097900384
451	0.1097349039
452	0.1095267238
453	0.1093561636
454	0.1093094645
455	0.1092292794
456	0.1090529328
457	0.1089303649
458	0.1088143331
459	0.1087375719
460	0.1086193747
461	0.1085322502
462	0.108481211
463	0.108394081
464	0.1081602337
465	0.1079497235
466	0.1077874869
467	0.1075881098
468	0.1074630595
469	0.1072589942
470	0.1071320794
471	0.1070597548
472	0.106927084
473	0.1067415387
474	0.1065590714
475	0.1064425773
476	0.106330829
477	0.1060601708
478	0.1059772498
479	0.1058902873
480	0.1057891214
481	0.1056574093
482	0.1055906309
483	0.1054410797
484	0.1052239373
485	0.1050486757
486	0.1049731898
487	0.1047728562
488	0.1046997055
489	0.1045092973
490	0.1042734962
491	0.1040980542
492	0.1040117352
493	0.1038419959
494	0.1036552615
