iter	Passed	Remaining
0	3	3486
1	6	3142
2	8	2932
3	11	2808
4	13	2654
5	14	2479
6	17	2435
7	19	2386
8	21	2347
9	23	2321
10	25	2308
11	27	2247
12	29	2204
13	30	2175
14	32	2135
15	33	2083
16	35	2038
17	36	1996
18	38	1963
19	39	1932
20	41	1919
21	42	1887
22	43	1850
23	44	1818
24	45	1786
25	46	1756
26	47	1728
27	49	1704
28	50	1680
29	51	1659
30	52	1639
31	53	1623
32	54	1602
33	56	1594
34	57	1587
35	58	1571
36	59	1556
37	60	1543
38	62	1529
39	63	1517
40	64	1504
41	64	1478
42	65	1467
43	67	1457
44	68	1447
45	69	1439
46	71	1444
47	72	1438
48	73	1432
49	74	1423
50	76	1415
51	77	1406
52	78	1398
53	79	1391
54	80	1384
55	81	1376
56	82	1370
57	83	1363
58	85	1359
59	86	1359
60	88	1357
61	89	1351
62	90	1346
63	91	1340
64	92	1334
65	93	1328
66	95	1323
67	96	1318
68	97	1312
69	98	1307
70	99	1302
71	100	1299
72	102	1298
73	103	1296
74	104	1292
75	105	1288
76	107	1283
77	108	1279
78	109	1278
79	111	1276
80	112	1273
81	113	1269
82	114	1265
83	115	1263
84	117	1260
85	118	1259
86	119	1257
87	121	1256
88	122	1256
89	123	1252
90	124	1248
91	126	1244
92	127	1241
93	128	1238
94	129	1234
95	130	1230
96	132	1230
97	133	1228
98	134	1226
99	135	1223
100	137	1219
101	138	1216
102	139	1213
103	140	1209
104	141	1207
105	142	1204
106	143	1201
107	145	1198
108	146	1197
109	147	1197
110	149	1195
111	150	1192
112	151	1189
113	152	1188
114	154	1185
115	155	1182
116	156	1180
117	157	1177
118	158	1175
119	159	1172
120	161	1171
121	162	1170
122	164	1169
123	165	1169
124	166	1166
125	167	1165
126	169	1164
127	170	1162
128	171	1160
129	173	1159
130	174	1157
131	175	1155
132	177	1155
133	178	1155
134	180	1154
135	181	1153
136	182	1151
137	184	1155
138	186	1155
139	188	1154
140	189	1153
141	190	1151
142	191	1149
143	193	1149
144	194	1148
145	196	1147
146	197	1145
147	199	1146
148	200	1145
149	201	1144
150	203	1142
151	204	1141
152	205	1140
153	207	1139
154	209	1140
155	210	1138
156	211	1138
157	213	1137
158	214	1135
159	215	1132
160	217	1131
161	218	1129
162	219	1127
163	220	1126
164	222	1124
165	223	1123
166	225	1123
167	226	1123
168	228	1122
169	229	1120
170	230	1118
171	231	1116
172	233	1115
173	234	1113
174	235	1112
175	237	1109
176	238	1108
177	240	1108
178	242	1110
179	243	1109
180	244	1108
181	246	1106
182	247	1104
183	248	1102
184	249	1101
185	251	1099
186	252	1098
187	253	1096
188	255	1095
189	257	1097
190	258	1096
191	260	1095
192	261	1094
193	262	1092
194	264	1091
195	265	1089
196	267	1088
197	268	1087
198	270	1087
199	271	1086
200	273	1085
201	274	1084
202	275	1083
203	277	1081
204	278	1080
205	279	1078
206	281	1076
207	282	1075
208	283	1073
209	285	1073
210	286	1072
211	288	1072
212	289	1070
213	291	1069
214	292	1067
215	293	1065
216	294	1064
217	296	1062
218	297	1061
219	298	1059
220	300	1059
221	302	1059
222	303	1059
223	305	1058
224	306	1056
225	308	1054
226	309	1053
227	310	1052
228	312	1050
229	313	1049
230	315	1048
231	316	1048
232	318	1047
233	319	1046
234	321	1045
235	322	1043
236	323	1042
237	324	1040
238	326	1038
239	327	1037
240	328	1036
241	330	1034
242	331	1034
243	333	1033
244	334	1031
245	336	1030
246	337	1028
247	338	1027
248	340	1025
249	341	1023
250	342	1021
251	343	1020
252	345	1020
253	347	1019
254	348	1018
255	350	1017
256	351	1016
257	352	1013
258	353	1012
259	355	1010
260	356	1009
261	357	1008
262	359	1007
263	360	1005
264	362	1005
265	363	1003
266	365	1002
267	366	1001
268	367	999
269	369	998
270	370	997
271	372	996
272	373	994
273	374	993
274	376	992
275	378	991
276	379	990
277	381	990
278	382	989
279	384	987
280	385	986
281	386	985
282	388	983
283	389	982
284	391	981
285	392	980
286	394	980
287	396	979
288	397	977
289	398	975
290	399	973
291	400	972
292	402	970
